Strawberries 16 oz	$5.25	$4.99	$0.26	5%	
Panera soup 16 oz	$5.50	$4.99	$0.51	10%	
Iced coffee 11 oz	$2.75	$2.39	$0.36	15%	
Naked juice protein	$4.25	$3.69	$0.56	15%	
Tropicana 12oz	$1.95	$1.69	$0.26	15%	
Nutella 13 oz	$5.00	$4.14	$0.86	21%	
Mott's	$3.10	$2.49	$0.61	24%	24 oz
Nilla wafers	$5.35	$4.29	$1.06	25%	11 oz
Raspberries 6 oz	$5.00	$3.99	$1.01	25%	
Pepsi	$2.30	$1.79	$0.51	28%	
Diet Pepsi	$2.30	$1.79	$0.51	28%	
Tropicana 50oz	$5.50	$4.25	$1.25	29%	59 oz
Tropicana 32oz 	$4.75	$3.59	$1.16	32%	
Red Bull 12 oz	$4.00	$2.99	$1.01	34%	
Cheezit reg/white cheddar	$5.75	$4.19	$1.56	37%	 12.4 oz; 2.99 for 7 oz
Muscle milk	$4.80	$3.49	$1.31	38%	14 fl oz
Mtn dew	$2.50	$1.79	$0.71	40%	
Naked juice	$4.25	$2.99	$1.26	42%	
Bolthouse smoothie orotein 15.2 fl oz	$4.75	$3.29	$1.46	44%	
Wheat thin triscuit	$5.35	$3.69	$1.66	45%	9 oz
Coke 20 oz	$2.50	$1.69	$0.81	48%	
Sprite 20 oz	$2.50	$1.69	$0.81	48%	
Blackberries 6 oz	$6.00	$3.99	$2.01	50%	
Starbucks frapp 13.7 oz	$3.65	$2.39	$1.26	53%	  
Chips ahoy 12 oz	$5.50	$3.59	$1.91	53%	13 oz
Chips ahoy	$5.50	$3.59	$1.91	53%	13 oz
Starbucks frapp 9.5 oz	$2.50	$1.62	$0.88	54%	
Amy's Cheddar Bowl 9.5 oz	$7.35	$4.69	$2.66	57%	any bowl
Pure leaf 	$2.50	$1.59	$0.91	57%	
Coke 2L	$3.00	$1.89	$1.11	59%	
Bolthouse smoothie 15.2 fl oz	$4.75	$2.99	$1.76	59%	
Ben and Jerry's pint	$7.00	$4.39	$2.61	59%	
Healthy choice veg	$4.00	$2.49	$1.51	61%	14 oz
 Healthy choice chixric	$4.00	$2.49	$1.51	61%	14 oz
Chips ahoy 13 oz	$5.80	$3.59	$2.21	62%	
Ritz	$5.50	$3.39	$2.11	62%	10.3 oz; 3.69 for 13. oz
Skippy cream 16 oz	$5.35	$3.29	$2.06	63%	
Chi chi's salsa	$5.00	$2.99	$2.01	67%	
Honest tea 16.9 fl oz	$2.50	$1.49	$1.01	68%	
Dole	$5.50	$3.19	$2.31	72%	
Snapple	$2.25	$1.29	$0.96	74%	
vitamin water	$2.50	$1.39	$1.11	80%	
Pop tart blueberry	$5.35	$2.89	$2.46	85%	14.7 oz; 3.59 for 22 oz
Red Bull 8.4 oz	$3.25	$1.75	$1.50	86%	
Doubleshot	$4.80	$2.50	$2.30	92%	
Sobe life water 	$2.35	$1.09	$1.26	116%	20 fl oz
Chobani 5.3 oz	$3.00	$1.39	$1.61	116%	
Lean pockets turk/broc/ched 9 oz	$5.60	$2.59	$3.01	116%	
Campbell's chicken noodle	$4.00	$1.79	$2.21	123%	10.75 oz; 2.29  for 22.4 oz
Campbell's tomato mw	$4.00	$1.79	$2.21	123%	
Chobani flip 5.3 oz	$3.50	$1.49	$2.01	135%	
Bumblebee tuna 3.6oz	$2.40	$0.99	$1.41	142%	5 o; 1.19 not chk lt 5 oz
Diet coke 20 oz	$2.50	$1.00	$1.50	150%	
Schwepps 1L	$2.75	$0.99	$1.76	178%	
Gatorade 32 oz	$4.50	$1.59	$2.91	183%	
Gatorade 20 oz	$2.15	$0.75	$1.40	187%	divided
Pringles	$3.60	$1.25	$2.35	188%	
Cup o noodles	$1.60	$0.43	$1.17	272%	Big cup 2.82 oz; 3 pk 1.67 2.25 oz
Quaker inst oatmeal	$6.30	$1.49	$4.81	323%	1.51 oz
Maruchan noodle bowl chix Ramen	$2.70	$0.42	$2.28	543%	2.15 oz
All laundry detergent 	$5.50		$5.50		3.99 for 50 fl oz
Down dish liquid 	$6.05		$6.05		3.29 dawn 20 fl oz; 1.69 9 fl oz
Tide detergent 	$8.00		$8.00		8.49 for 1.47L
One coconut water	$3.00		$3.00		
Schweppes 	$2.30		$2.30		
Tazo	$2.60		$2.60		
Sobe elixir	$2.50		$2.50		
Yale water 	$1.50		$1.50		
Crush?	$2.50		$2.50		
Schweppes?	$2.50		$2.50		
Mtn dew Kickstart	$3.00		$3.00		
Oreo 16 oz	$5.60		$5.60		
Quaker corn cake	$3.65		$3.65		
Annie cheddar bunny	$5.50		$5.50		
Peeled snax Appleberry	$6.40		$6.40		
Gringo salsa	$5.25		$5.25		
Glad kitchen bag trash bag	$5.25		$5.25		
All detergent	$5.50		$5.50		
Tide	$8.00		$8.00		
Soft scrub	$3.50		$3.50		
Sue bee 12 oz	$5.75		$5.75		
Cheerios honey nut cup 	$2.15		$2.15		
Cereal cup	$2.15		$2.15		
Annie's Mac and cheese	$6.50		$6.50		
Orangeside donuts	$6.00		$6.00		
Orangeside full size	$2.75		$2.75		
Annie's bunny	$5.50		$5.50		
Annie's Mac and cheese	$6.50		$6.50		
Orville popcorn bowl	$4.80		$4.80		
Soft scrub 	$3.50		$3.50		
Fantastic hd	$4.00		$4.00		
Solo plate 15ct	$3.80		$3.80		
Sabra hummus	$3.75		$3.75		
Purity juice 14 fl oz	$5.00		$5.00		
orangina 16 fl oz	$2.30		$2.30		
Kevita 15.2 fl oz	$4.75		$4.75		
Reed's Kombucha 13.5 fl oz	$4.75		$4.75		
GTS Kombucha 16 fl oz	$5.35		$5.35		
Blueberries 6 oz	$6.25		$6.25		
Dole fruit cup 7 oz	$1.75		$1.75		
chex mix hot & spicy 3.75 oz	$2.60		$2.60		
Snyder's buffalo 3.5 oz	$2.15		$2.15		
Deep River original 5 oz	$3.50		$3.50		
Stacy parm/garlic pita 8 oz	$4.25		$4.25		
Red Bull Cn 20 oz	$5.35		$5.35		
Red Bull 20 oz	$5.00		$5.00		
Banquet chicken nuggets 15 oz	$4.30		$4.30		
Amy's Ravioli 9.5 oz	$7.35		$7.35		
Amy's Cheese Lasagna 10.3 oz	$7.35		$7.35

